"person_id","name","surname","ssn","email","password","username","role_name","competence_name","years_of_experience","avail_from","avail_to"
"2","Per","Strand","19671212-1211","per@strand.kth.se",NULL,NULL,"applicant","Korvgrillning","3.50","2014-07-10","2014-08-10"
"2","Per","Strand","19671212-1211","per@strand.kth.se",NULL,NULL,"applicant","Korvgrillning","3.50","2014-02-23","2014-05-25"
"2","Per","Strand","19671212-1211","per@strand.kth.se",NULL,NULL,"applicant","Karuselldrift","2.00","2014-07-10","2014-08-10"
"2","Per","Strand","19671212-1211","per@strand.kth.se",NULL,NULL,"applicant","Karuselldrift","2.00","2014-02-23","2014-05-25"
"3","Pelle","Svensson","19871212-1245","pelle@svensson.kth.se",NULL,NULL,"applicant","Karuselldrift","2.50","2016-03-23","2016-06-25"
"3","Pelle","Svensson","19871212-1245","pelle@svensson.kth.se",NULL,NULL,"applicant","Karuselldrift","2.50","2016-01-23","2016-02-25"
"3","Pelle","Svensson","19871212-1245","pelle@svensson.kth.se",NULL,NULL,"applicant","Karuselldrift","2.50","2015-10-23","2015-12-25"
"3","Pelle","Svensson","19871212-1245","pelle@svensson.kth.se",NULL,NULL,"applicant","Karuselldrift","2.50","2015-07-23","2015-09-25"
"3","Pelle","Svensson","19871212-1245","pelle@svensson.kth.se",NULL,NULL,"applicant","Korvgrillning","1.00","2016-03-23","2016-06-25"
"3","Pelle","Svensson","19871212-1245","pelle@svensson.kth.se",NULL,NULL,"applicant","Korvgrillning","1.00","2016-01-23","2016-02-25"
"3","Pelle","Svensson","19871212-1245","pelle@svensson.kth.se",NULL,NULL,"applicant","Korvgrillning","1.00","2015-10-23","2015-12-25"
"3","Pelle","Svensson","19871212-1245","pelle@svensson.kth.se",NULL,NULL,"applicant","Korvgrillning","1.00","2015-07-23","2015-09-25"
